order_id,customer_id,order_date,category,payment_method,pincode_tier,order_value,discount_percent,is_rto,is_return,outcome,return_reason,is_bad_order
ORD_0004916,CUST_04294,2023-01-02 02:00:00,Beauty,COD,Tier_2,716.99,9.8,0,0,Delivered,,0
ORD_0006623,CUST_03720,2023-01-02 05:00:00,Electronics,COD,Tier_2,1533.22,48.29,0,1,Returned,Wrong Size,1
ORD_0007364,CUST_02353,2023-01-02 12:00:00,Fashion,COD,Tier_2,326.22,0.44,1,0,RTO,,1
ORD_0003616,CUST_04634,2023-01-02 13:00:00,Beauty,COD,Tier_3,1113.65,40.63,0,0,Delivered,,0
ORD_0007099,CUST_05014,2023-01-02 14:00:00,Footwear,COD,Tier_1,1715.64,28.18,0,1,Returned,Not as Expected,1
ORD_0005954,CUST_01465,2023-01-02 14:00:00,Electronics,Prepaid,Tier_2,585.4,44.29,0,0,Delivered,,0
ORD_0004010,CUST_02034,2023-01-02 18:00:00,Electronics,COD,Tier_2,3125.59,14.74,1,0,RTO,,1
ORD_0005785,CUST_01733,2023-01-02 19:00:00,Footwear,Prepaid,Tier_2,2796.11,5.4,0,0,Delivered,,0
ORD_0009764,CUST_03061,2023-01-02 19:00:00,Fashion,Prepaid,Tier_2,507.64,0.57,0,0,Delivered,,0
ORD_0007462,CUST_00256,2023-01-02 20:00:00,Fashion,Prepaid,Tier_3,570.8,21.34,0,0,Delivered,,0
ORD_0009397,CUST_00521,2023-01-02 20:00:00,Fashion,COD,Tier_2,973.45,15.12,1,0,RTO,,1
ORD_0003979,CUST_00455,2023-01-02 20:00:00,Fashion,COD,Tier_2,611.83,47.59,1,0,RTO,,1
ORD_0004227,CUST_04308,2023-01-02 21:00:00,Beauty,COD,Tier_3,623.12,21.16,0,0,Delivered,,0
ORD_0008073,CUST_05288,2023-01-02 21:00:00,Footwear,Prepaid,Tier_2,1026.44,29.55,0,0,Delivered,,0
ORD_0002697,CUST_02372,2023-01-02 21:00:00,Fashion,Prepaid,Tier_2,371.63,39.51,0,1,Returned,Wrong Size,1
ORD_0004444,CUST_01557,2023-01-02 22:00:00,Beauty,COD,Tier_2,1921.67,41.8,0,0,Delivered,,0
ORD_0008907,CUST_05026,2023-01-02 22:00:00,Home,Prepaid,Tier_1,2167.75,4.84,0,0,Delivered,,0
ORD_0009380,CUST_01118,2023-01-02 22:00:00,Fashion,COD,Tier_3,4523.89,42.52,1,0,RTO,,1
ORD_0002312,CUST_05572,2023-01-02 22:00:00,Footwear,Prepaid,Tier_3,1703.36,22.66,0,1,Returned,Changed Mind,1
ORD_0006987,CUST_05320,2023-01-02 23:00:00,Home,COD,Tier_1,1480.87,28.72,0,0,Delivered,,0
ORD_0000845,CUST_00710,2023-01-02 23:00:00,Home,COD,Tier_2,2083.19,41.27,1,0,RTO,,1
ORD_0006337,CUST_00523,2023-01-02 23:00:00,Fashion,COD,Tier_1,2697.75,15.06,0,0,Delivered,,0
ORD_0007973,CUST_04353,2023-01-03 00:00:00,Beauty,Prepaid,Tier_1,1643.77,22.24,0,0,Delivered,,0
ORD_0001072,CUST_00330,2023-01-03 00:00:00,Fashion,COD,Tier_1,1971.86,22.97,0,1,Returned,Wrong Size,1
ORD_0000221,CUST_03269,2023-01-03 00:00:00,Fashion,COD,Tier_3,1907.49,15.55,0,0,Delivered,,0
ORD_0004839,CUST_05577,2023-01-03 03:00:00,Fashion,COD,Tier_2,315.56,1.31,1,0,RTO,,1
ORD_0009083,CUST_01631,2023-01-03 04:00:00,Footwear,COD,Tier_2,2381.19,44.73,0,1,Returned,Wrong Size,1
ORD_0007656,CUST_02475,2023-01-03 04:00:00,Fashion,Prepaid,Tier_2,1634.15,32.78,0,0,Delivered,,0
ORD_0007459,CUST_00543,2023-01-03 05:00:00,Electronics,Prepaid,Tier_1,730.33,46.51,0,0,Delivered,,0
ORD_0003811,CUST_01171,2023-01-03 05:00:00,Footwear,COD,Tier_1,3294.21,26.35,0,0,Delivered,,0
ORD_0006371,CUST_04494,2023-01-03 05:00:00,Fashion,COD,Tier_2,772.94,16.13,0,0,Delivered,,0
ORD_0009233,CUST_01391,2023-01-03 09:00:00,Beauty,Prepaid,Tier_2,1851.8,49.62,0,0,Delivered,,0
ORD_0008895,CUST_03056,2023-01-03 11:00:00,Footwear,COD,Tier_3,341.38,32.97,1,0,RTO,,1
ORD_0008685,CUST_05303,2023-01-03 11:00:00,Electronics,Prepaid,Tier_1,1970.95,17.0,0,0,Delivered,,0
ORD_0001516,CUST_03902,2023-01-03 13:00:00,Electronics,COD,Tier_2,4209.88,40.75,0,0,Delivered,,0
ORD_0009925,CUST_05517,2023-01-03 14:00:00,Fashion,COD,Tier_2,1223.69,13.23,0,1,Returned,Not as Expected,1
ORD_0006291,CUST_05175,2023-01-03 14:00:00,Fashion,COD,Tier_3,1432.61,38.78,0,0,Delivered,,0
ORD_0004752,CUST_00523,2023-01-03 15:00:00,Beauty,COD,Tier_1,567.08,16.87,0,0,Delivered,,0
ORD_0003748,CUST_03505,2023-01-03 15:00:00,Footwear,Prepaid,Tier_1,1302.76,20.0,0,1,Returned,Changed Mind,1
ORD_0004110,CUST_01661,2023-01-03 17:00:00,Home,Prepaid,Tier_2,801.43,36.8,0,0,Delivered,,0
ORD_0004241,CUST_02635,2023-01-03 19:00:00,Footwear,COD,Tier_3,3196.23,11.95,0,0,Delivered,,0
ORD_0007203,CUST_05703,2023-01-03 20:00:00,Fashion,Prepaid,Tier_1,914.02,13.09,0,0,Delivered,,0
ORD_0005031,CUST_02164,2023-01-03 20:00:00,Beauty,COD,Tier_2,1296.07,33.41,0,0,Delivered,,0
ORD_0001831,CUST_02352,2023-01-03 21:00:00,Footwear,COD,Tier_2,2852.28,27.21,1,0,RTO,,1
ORD_0008345,CUST_01441,2023-01-03 22:00:00,Fashion,Prepaid,Tier_3,421.13,21.56,0,0,Delivered,,0
ORD_0008082,CUST_00871,2023-01-03 23:00:00,Fashion,COD,Tier_1,937.05,7.87,0,1,Returned,Wrong Size,1
ORD_0004243,CUST_02216,2023-01-03 23:00:00,Footwear,COD,Tier_1,950.94,40.62,0,0,Delivered,,0
ORD_0008046,CUST_00621,2023-01-03 23:00:00,Fashion,COD,Tier_1,774.48,39.96,0,0,Delivered,,0
ORD_0004124,CUST_01701,2023-01-04 00:00:00,Electronics,COD,Tier_1,718.59,7.46,0,0,Delivered,,0
ORD_0001556,CUST_02664,2023-01-04 01:00:00,Footwear,COD,Tier_1,2003.75,37.37,1,0,RTO,,1
ORD_0000337,CUST_04786,2023-01-04 02:00:00,Footwear,COD,Tier_1,813.8,46.55,0,0,Delivered,,0
ORD_0008113,CUST_03917,2023-01-04 03:00:00,Footwear,COD,Tier_3,4869.63,48.13,0,0,Delivered,,0
ORD_0009573,CUST_01383,2023-01-04 03:00:00,Footwear,COD,Tier_1,2349.93,44.53,0,0,Delivered,,0
ORD_0002226,CUST_04702,2023-01-04 04:00:00,Footwear,Prepaid,Tier_1,2147.51,16.52,0,0,Delivered,,0
ORD_0004213,CUST_05303,2023-01-04 06:00:00,Footwear,COD,Tier_3,701.61,34.43,0,1,Returned,Wrong Size,1
ORD_0009116,CUST_05148,2023-01-04 07:00:00,Fashion,Prepaid,Tier_3,2651.0,1.88,0,0,Delivered,,0
ORD_0003812,CUST_00561,2023-01-04 10:00:00,Footwear,COD,Tier_1,4922.52,40.33,0,1,Returned,Wrong Size,1
ORD_0005702,CUST_03807,2023-01-04 11:00:00,Footwear,COD,Tier_2,1469.1,48.82,0,1,Returned,Not as Expected,1
ORD_0006303,CUST_01328,2023-01-04 11:00:00,Footwear,Prepaid,Tier_2,1207.76,1.86,0,0,Delivered,,0
ORD_0003700,CUST_05191,2023-01-04 12:00:00,Fashion,Prepaid,Tier_1,730.07,11.21,0,1,Returned,Wrong Size,1
ORD_0009047,CUST_04919,2023-01-04 12:00:00,Fashion,COD,Tier_1,838.57,34.29,0,1,Returned,Changed Mind,1
ORD_0005608,CUST_04503,2023-01-04 13:00:00,Footwear,COD,Tier_2,589.17,14.14,1,0,RTO,,1
ORD_0000078,CUST_03033,2023-01-04 14:00:00,Home,COD,Tier_1,1956.84,46.47,0,0,Delivered,,0
ORD_0005109,CUST_01835,2023-01-04 15:00:00,Electronics,COD,Tier_1,3407.24,9.04,0,0,Delivered,,0
ORD_0009519,CUST_01506,2023-01-04 16:00:00,Beauty,COD,Tier_3,2464.61,25.95,0,0,Delivered,,0
ORD_0004523,CUST_03430,2023-01-04 16:00:00,Electronics,COD,Tier_2,2150.58,2.14,0,0,Delivered,,0
ORD_0007129,CUST_01854,2023-01-04 17:00:00,Fashion,COD,Tier_2,1208.42,8.67,1,0,RTO,,1
ORD_0007313,CUST_01461,2023-01-04 19:00:00,Fashion,COD,Tier_2,4002.11,43.15,1,0,RTO,,1
ORD_0000920,CUST_03967,2023-01-04 19:00:00,Footwear,Prepaid,Tier_1,1377.96,28.21,0,0,Delivered,,0
ORD_0003705,CUST_05692,2023-01-04 19:00:00,Fashion,COD,Tier_2,2701.04,36.27,0,0,Delivered,,0
ORD_0001861,CUST_00321,2023-01-04 22:00:00,Home,Prepaid,Tier_1,3014.67,20.41,0,0,Delivered,,0
ORD_0003574,CUST_05286,2023-01-04 22:00:00,Fashion,COD,Tier_3,1147.22,24.34,1,0,RTO,,1
ORD_0008251,CUST_05705,2023-01-04 23:00:00,Footwear,COD,Tier_1,520.91,31.21,0,1,Returned,Wrong Size,1
ORD_0004633,CUST_05971,2023-01-05 00:00:00,Fashion,Prepaid,Tier_3,355.89,47.14,0,0,Delivered,,0
ORD_0006313,CUST_05281,2023-01-05 01:00:00,Fashion,Prepaid,Tier_3,1135.31,48.1,0,0,Delivered,,0
ORD_0005358,CUST_05677,2023-01-05 01:00:00,Electronics,COD,Tier_2,2848.23,32.71,1,0,RTO,,1
ORD_0001292,CUST_02081,2023-01-05 01:00:00,Electronics,Prepaid,Tier_1,3262.62,40.66,0,0,Delivered,,0
ORD_0004583,CUST_04774,2023-01-05 02:00:00,Fashion,COD,Tier_2,1422.13,36.06,1,0,RTO,,1
ORD_0008750,CUST_02332,2023-01-05 02:00:00,Beauty,COD,Tier_1,859.27,41.52,0,0,Delivered,,0
ORD_0008936,CUST_01822,2023-01-05 04:00:00,Electronics,COD,Tier_2,462.7,8.46,0,0,Delivered,,0
ORD_0003520,CUST_04399,2023-01-05 04:00:00,Home,Prepaid,Tier_1,3136.83,3.61,0,0,Delivered,,0
ORD_0007430,CUST_05509,2023-01-05 04:00:00,Home,COD,Tier_3,2916.68,21.4,1,0,RTO,,1
ORD_0003970,CUST_02155,2023-01-05 04:00:00,Fashion,COD,Tier_3,667.71,9.1,0,0,Delivered,,0
ORD_0006594,CUST_02054,2023-01-05 05:00:00,Electronics,COD,Tier_2,3962.73,28.82,0,0,Delivered,,0
ORD_0003141,CUST_01975,2023-01-05 05:00:00,Home,COD,Tier_1,300.37,40.14,0,0,Delivered,,0
ORD_0006002,CUST_03283,2023-01-05 07:00:00,Fashion,Prepaid,Tier_2,2575.3,37.14,0,1,Returned,Changed Mind,1
ORD_0003652,CUST_03508,2023-01-05 07:00:00,Electronics,Prepaid,Tier_2,4897.6,12.24,0,0,Delivered,,0
ORD_0003878,CUST_01082,2023-01-05 09:00:00,Fashion,Prepaid,Tier_1,703.57,13.41,0,0,Delivered,,0
ORD_0003881,CUST_03448,2023-01-05 10:00:00,Beauty,COD,Tier_1,2827.55,44.7,0,0,Delivered,,0
ORD_0006974,CUST_03809,2023-01-05 10:00:00,Fashion,COD,Tier_2,1616.79,9.39,0,0,Delivered,,0
ORD_0003948,CUST_05800,2023-01-05 11:00:00,Footwear,Prepaid,Tier_3,7233.51,35.05,0,1,Returned,Wrong Size,1
ORD_0007822,CUST_02206,2023-01-05 11:00:00,Beauty,Prepaid,Tier_1,2482.22,29.2,0,0,Delivered,,0
ORD_0006949,CUST_04287,2023-01-05 12:00:00,Fashion,COD,Tier_2,1946.0,27.24,0,0,Delivered,,0
ORD_0004185,CUST_02717,2023-01-05 12:00:00,Fashion,COD,Tier_3,400.57,25.05,0,0,Delivered,,0
ORD_0003944,CUST_05391,2023-01-05 12:00:00,Beauty,COD,Tier_3,948.15,15.25,1,0,RTO,,1
ORD_0003339,CUST_02743,2023-01-05 15:00:00,Home,Prepaid,Tier_3,867.26,1.08,0,0,Delivered,,0
ORD_0007516,CUST_03764,2023-01-05 16:00:00,Footwear,Prepaid,Tier_3,606.9,42.78,0,1,Returned,Not as Expected,1
ORD_0002818,CUST_03620,2023-01-05 18:00:00,Home,COD,Tier_1,2582.68,27.09,0,0,Delivered,,0
ORD_0001033,CUST_01221,2023-01-05 18:00:00,Footwear,Prepaid,Tier_2,394.89,26.28,0,1,Returned,Not as Expected,1
ORD_0007342,CUST_05691,2023-01-05 19:00:00,Electronics,COD,Tier_1,1583.52,18.41,0,0,Delivered,,0
ORD_0009001,CUST_02309,2023-01-05 21:00:00,Footwear,Prepaid,Tier_1,859.41,19.23,0,0,Delivered,,0
ORD_0007473,CUST_00958,2023-01-05 22:00:00,Electronics,COD,Tier_3,520.97,3.08,1,0,RTO,,1
ORD_0003367,CUST_01637,2023-01-06 00:00:00,Electronics,Prepaid,Tier_2,1545.79,44.62,0,0,Delivered,,0
ORD_0002147,CUST_02239,2023-01-06 02:00:00,Beauty,COD,Tier_2,1285.45,33.53,0,0,Delivered,,0
ORD_0008358,CUST_03433,2023-01-06 03:00:00,Electronics,Prepaid,Tier_1,1278.07,47.25,0,0,Delivered,,0
ORD_0004205,CUST_02293,2023-01-06 03:00:00,Electronics,Prepaid,Tier_2,3924.37,47.4,0,0,Delivered,,0
ORD_0005734,CUST_01918,2023-01-06 03:00:00,Footwear,Prepaid,Tier_2,849.34,48.14,0,1,Returned,Not as Expected,1
ORD_0000448,CUST_00917,2023-01-06 04:00:00,Beauty,Prepaid,Tier_2,349.81,23.78,0,0,Delivered,,0
ORD_0003753,CUST_02473,2023-01-06 05:00:00,Fashion,COD,Tier_2,942.76,40.88,1,0,RTO,,1
ORD_0000842,CUST_02199,2023-01-06 05:00:00,Home,COD,Tier_1,459.98,0.57,0,0,Delivered,,0
ORD_0004776,CUST_05370,2023-01-06 06:00:00,Beauty,Prepaid,Tier_2,546.06,19.63,0,0,Delivered,,0
ORD_0007761,CUST_05122,2023-01-06 06:00:00,Fashion,COD,Tier_2,835.93,10.65,0,1,Returned,Changed Mind,1
ORD_0005360,CUST_00385,2023-01-06 07:00:00,Fashion,Prepaid,Tier_2,2999.78,10.77,0,1,Returned,Not as Expected,1
ORD_0008682,CUST_04475,2023-01-06 07:00:00,Footwear,Prepaid,Tier_2,450.64,38.22,0,0,Delivered,,0
ORD_0004386,CUST_05679,2023-01-06 08:00:00,Beauty,Prepaid,Tier_2,4168.83,8.45,0,0,Delivered,,0
ORD_0000383,CUST_05089,2023-01-06 11:00:00,Fashion,Prepaid,Tier_3,1483.12,49.09,0,0,Delivered,,0
ORD_0003340,CUST_03528,2023-01-06 12:00:00,Electronics,COD,Tier_2,591.34,40.16,0,0,Delivered,,0
ORD_0009381,CUST_00239,2023-01-06 13:00:00,Footwear,COD,Tier_1,1837.92,37.52,0,1,Returned,Changed Mind,1
ORD_0006279,CUST_02332,2023-01-06 14:00:00,Beauty,COD,Tier_2,3746.25,39.76,0,0,Delivered,,0
ORD_0006165,CUST_00444,2023-01-06 14:00:00,Electronics,Prepaid,Tier_2,1594.18,12.3,0,0,Delivered,,0
ORD_0000456,CUST_04527,2023-01-06 15:00:00,Home,COD,Tier_3,2171.6,34.83,1,0,RTO,,1
ORD_0003816,CUST_05000,2023-01-06 15:00:00,Electronics,COD,Tier_1,1938.44,12.26,0,0,Delivered,,0
ORD_0007616,CUST_05280,2023-01-06 16:00:00,Footwear,Prepaid,Tier_1,797.56,2.58,0,1,Returned,Not as Expected,1
ORD_0007777,CUST_02952,2023-01-06 19:00:00,Fashion,Prepaid,Tier_1,1677.71,16.95,0,0,Delivered,,0
ORD_0008065,CUST_01458,2023-01-06 20:00:00,Home,COD,Tier_2,711.78,40.81,0,0,Delivered,,0
ORD_0007508,CUST_01174,2023-01-06 21:00:00,Fashion,COD,Tier_3,4026.26,49.61,0,1,Returned,Not as Expected,1
ORD_0002565,CUST_03613,2023-01-06 21:00:00,Beauty,COD,Tier_1,1111.91,33.44,0,0,Delivered,,0
ORD_0005067,CUST_03455,2023-01-06 23:00:00,Fashion,Prepaid,Tier_3,1069.24,6.18,0,0,Delivered,,0
ORD_0002760,CUST_05355,2023-01-07 00:00:00,Beauty,COD,Tier_1,468.14,41.7,0,0,Delivered,,0
ORD_0008963,CUST_00975,2023-01-07 00:00:00,Footwear,COD,Tier_2,653.99,42.98,0,0,Delivered,,0
ORD_0004384,CUST_01718,2023-01-07 02:00:00,Footwear,COD,Tier_1,2165.82,6.91,0,1,Returned,Changed Mind,1
ORD_0005091,CUST_01071,2023-01-07 02:00:00,Fashion,COD,Tier_2,440.34,9.86,0,0,Delivered,,0
ORD_0001658,CUST_03284,2023-01-07 03:00:00,Footwear,Prepaid,Tier_1,1780.57,21.0,0,0,Delivered,,0
ORD_0005248,CUST_00398,2023-01-07 04:00:00,Fashion,COD,Tier_3,901.69,46.56,0,0,Delivered,,0
ORD_0005126,CUST_05255,2023-01-07 04:00:00,Fashion,COD,Tier_1,1498.92,19.09,0,0,Delivered,,0
ORD_0005970,CUST_05729,2023-01-07 08:00:00,Electronics,Prepaid,Tier_1,1197.97,24.46,0,0,Delivered,,0
ORD_0009370,CUST_03803,2023-01-07 09:00:00,Fashion,Prepaid,Tier_1,2584.83,8.41,0,1,Returned,Wrong Size,1
ORD_0000139,CUST_01253,2023-01-07 10:00:00,Home,COD,Tier_3,736.55,0.05,1,0,RTO,,1
ORD_0008966,CUST_00543,2023-01-07 10:00:00,Footwear,Prepaid,Tier_1,1172.34,32.48,0,1,Returned,Wrong Size,1
ORD_0007909,CUST_04947,2023-01-07 10:00:00,Fashion,Prepaid,Tier_1,1685.79,29.48,0,1,Returned,Defective,1
ORD_0008572,CUST_03201,2023-01-07 11:00:00,Home,COD,Tier_2,2218.54,8.46,1,0,RTO,,1
ORD_0005685,CUST_03319,2023-01-07 12:00:00,Fashion,COD,Tier_3,1744.34,26.36,1,0,RTO,,1
ORD_0001395,CUST_03020,2023-01-07 12:00:00,Fashion,COD,Tier_3,1106.96,4.67,0,1,Returned,Wrong Size,1
ORD_0008769,CUST_04811,2023-01-07 12:00:00,Fashion,COD,Tier_2,910.03,25.28,0,1,Returned,Changed Mind,1
ORD_0000909,CUST_01889,2023-01-07 13:00:00,Fashion,Prepaid,Tier_2,2004.01,19.6,0,0,Delivered,,0
ORD_0000350,CUST_01927,2023-01-07 13:00:00,Electronics,COD,Tier_3,3848.08,0.61,0,0,Delivered,,0
ORD_0009222,CUST_02029,2023-01-07 14:00:00,Electronics,COD,Tier_1,971.86,2.59,1,0,RTO,,1
ORD_0003047,CUST_02624,2023-01-07 14:00:00,Fashion,COD,Tier_3,387.56,26.93,0,1,Returned,Defective,1
ORD_0001503,CUST_02935,2023-01-07 16:00:00,Footwear,COD,Tier_1,2716.6,31.23,0,1,Returned,Wrong Size,1
ORD_0001597,CUST_00792,2023-01-07 16:00:00,Fashion,COD,Tier_1,1396.37,26.93,0,1,Returned,Defective,1
ORD_0007145,CUST_02662,2023-01-07 17:00:00,Electronics,Prepaid,Tier_2,2140.7,13.84,0,0,Delivered,,0
ORD_0001318,CUST_03125,2023-01-07 17:00:00,Fashion,COD,Tier_3,312.41,43.99,1,0,RTO,,1
ORD_0007746,CUST_03025,2023-01-07 21:00:00,Footwear,COD,Tier_2,891.8,30.56,0,0,Delivered,,0
ORD_0002855,CUST_00566,2023-01-07 23:00:00,Footwear,COD,Tier_1,1243.73,29.51,1,0,RTO,,1
ORD_0003703,CUST_04224,2023-01-08 01:00:00,Home,COD,Tier_3,1917.51,28.09,0,0,Delivered,,0
ORD_0003952,CUST_01343,2023-01-08 02:00:00,Electronics,COD,Tier_3,2947.93,26.59,1,0,RTO,,1
ORD_0005720,CUST_04640,2023-01-08 02:00:00,Footwear,COD,Tier_3,1689.54,33.38,0,0,Delivered,,0
ORD_0007749,CUST_00007,2023-01-08 03:00:00,Fashion,Prepaid,Tier_2,1782.81,38.73,0,0,Delivered,,0
ORD_0003971,CUST_05836,2023-01-08 04:00:00,Beauty,COD,Tier_1,1063.98,26.1,0,0,Delivered,,0
ORD_0005351,CUST_05302,2023-01-08 04:00:00,Footwear,COD,Tier_2,651.48,37.99,0,0,Delivered,,0
ORD_0009482,CUST_00740,2023-01-08 06:00:00,Fashion,COD,Tier_1,2990.11,3.47,0,0,Delivered,,0
ORD_0000985,CUST_02436,2023-01-08 07:00:00,Footwear,COD,Tier_1,909.28,36.39,0,1,Returned,Defective,1
ORD_0005520,CUST_01865,2023-01-08 07:00:00,Home,Prepaid,Tier_1,303.59,24.61,0,0,Delivered,,0
ORD_0007335,CUST_03501,2023-01-08 07:00:00,Footwear,COD,Tier_2,1979.44,3.27,0,0,Delivered,,0
ORD_0009859,CUST_05158,2023-01-08 10:00:00,Footwear,Prepaid,Tier_2,1030.26,4.58,0,0,Delivered,,0
ORD_0003742,CUST_00134,2023-01-08 10:00:00,Fashion,Prepaid,Tier_2,1253.97,34.95,0,1,Returned,Not as Expected,1
ORD_0004144,CUST_02915,2023-01-08 11:00:00,Home,COD,Tier_2,5147.88,4.56,0,0,Delivered,,0
ORD_0004502,CUST_03810,2023-01-08 15:00:00,Beauty,COD,Tier_1,1901.02,15.76,0,0,Delivered,,0
ORD_0007812,CUST_01523,2023-01-08 17:00:00,Beauty,Prepaid,Tier_2,1701.12,45.38,0,0,Delivered,,0
ORD_0007357,CUST_04334,2023-01-08 18:00:00,Footwear,Prepaid,Tier_1,457.09,14.26,1,0,RTO,,1
ORD_0005406,CUST_03821,2023-01-08 18:00:00,Home,COD,Tier_3,1200.57,49.58,0,0,Delivered,,0
ORD_0008767,CUST_03394,2023-01-08 19:00:00,Home,COD,Tier_3,1025.93,20.8,0,0,Delivered,,0
ORD_0000932,CUST_01470,2023-01-08 19:00:00,Footwear,COD,Tier_3,830.04,32.99,1,0,RTO,,1
ORD_0008775,CUST_03889,2023-01-08 19:00:00,Beauty,Prepaid,Tier_2,6405.35,2.46,0,0,Delivered,,0
ORD_0003669,CUST_02371,2023-01-08 19:00:00,Footwear,COD,Tier_1,6381.66,24.66,1,0,RTO,,1
ORD_0007221,CUST_05314,2023-01-08 19:00:00,Fashion,COD,Tier_2,748.51,11.91,0,1,Returned,Changed Mind,1
ORD_0008109,CUST_00031,2023-01-08 19:00:00,Home,Prepaid,Tier_2,1201.9,1.58,0,1,Returned,Wrong Size,1
ORD_0004187,CUST_00350,2023-01-08 19:00:00,Fashion,Prepaid,Tier_2,2017.14,32.18,0,0,Delivered,,0
ORD_0000795,CUST_03250,2023-01-08 20:00:00,Footwear,COD,Tier_1,384.08,33.33,0,0,Delivered,,0
ORD_0009033,CUST_04062,2023-01-08 20:00:00,Electronics,Prepaid,Tier_2,2980.4,46.63,0,0,Delivered,,0
ORD_0002279,CUST_01837,2023-01-08 20:00:00,Fashion,COD,Tier_2,552.45,30.63,0,0,Delivered,,0
ORD_0003631,CUST_01791,2023-01-08 21:00:00,Beauty,Prepaid,Tier_2,4016.91,28.77,0,0,Delivered,,0
ORD_0003124,CUST_00098,2023-01-08 22:00:00,Electronics,COD,Tier_3,1742.64,11.18,1,0,RTO,,1
ORD_0009012,CUST_05720,2023-01-08 23:00:00,Home,Prepaid,Tier_1,1630.21,9.44,0,0,Delivered,,0
ORD_0000768,CUST_05090,2023-01-08 23:00:00,Footwear,Prepaid,Tier_3,3404.77,25.09,0,1,Returned,Defective,1
ORD_0000151,CUST_02060,2023-01-09 05:00:00,Electronics,COD,Tier_1,4404.72,47.37,0,0,Delivered,,0
ORD_0001473,CUST_05239,2023-01-09 07:00:00,Footwear,COD,Tier_3,2553.12,7.6,1,0,RTO,,1
